Bayer Name,Common Name,Apparent V Mag,Distance,Absolute V Mag,Color,Near/Bright
N/A,Sun,-26.74,4.87E-06,4.82,0.63,Both
Alpha CMa,Sirius,-1.46,2.64,1.43,0,Both
Alpha Car,Canopus,-0.74,94.79,-5.62,0.15,Bright
Alpha Cen,Rigil Kentaurus & Toliman,-0.27,1.35,4.08,0.5,Both
Alpha Boo,Arcturus,-0.05,11.26,-0.31,1.23,Bright
Alpha Lyr,Vega,0.03,7.68,0.6,0,Both
Alpha Aur,Capella,0.08,13.12,-0.51,0.8,Bright
Beta Ori,Rigel,0.13,264.55,-6.98,-0.03,Bright
Alpha Cmi,Procyon,0.37,3.51,2.64,0.42,Both
Alpha Eri,Achernar,0.46,42.75,-2.69,-0.16,Bright
Alpha Ori,Betelgeuse,0.42,152.67,-5.5,1.85,Bright
Beta Cen,Hadar,0.58,120.19,-4.82,-0.23,Bright
Alpha Aql,Altair,0.76,5.13,2.21,0.22,Both
Alpha Cru,Acrux,0.76,98.72,-4.21,-0.26,Bright
Alpha Tau,Aldebaran,0.86,20.43,-0.69,1.54,Bright
Alpha Sco,Antares,0.91,169.78,-5.24,1.84,Bright
Alpha Vir,Spica,0.97,76.57,-3.45,-0.23,Bright
Beta Gem,Pollux,1.14,10.36,1.06,1,Bright
Alpha PsA,Fomalhaut,1.16,7.7,1.73,0.09,Both
Alpha Cyg,Deneb,1.25,432.9,-6.93,0.09,Bright
Beta Cru,Mimosa,1.25,85.4,-3.41,-0.23,Bright
Alpha Leo,Regulus,1.4,24.31,-0.53,-0.16,Bright
Epsilon Cma,Adhara,1.5,124.22,-3.97,-0.21,Bright
Lambda Sco,Shaula,1.62,175.13,-4.6,-0.14,Bright
Alpha Gem,Castor,1.58,15.6,0.61,0.04,Bright
Gamma Cru,Gacrux,1.64,27.15,-0.53,1.59,Bright
Gamma Ori,Bellatrix,1.64,77.4,-2.8,-0.22,Bright
Beta Tau,Elnath,1.65,41.05,-1.42,-0.13,Bright
Beta Car,Miaplacidus,1.69,34.7,-1.01,0,Bright
Epsilon Ori,Alnilam,1.69,606.06,-7.22,-0.18,Bright
Gamma Vel,Regor,1.83,342.47,-5.84,-0.25,Bright
Alpha Gru,Alnair,1.71,30.97,-0.74,-0.13,Bright
Epsilon Uma,Alioth,1.77,25.31,-0.25,-0.02,Bright
